Job Position;Company;Location;Salary;Job Type;Days_Since_Posted;Link;Description
Data Analyst;WINOD RITEL INDONESIA;Karang Tengah, Banten;Rp 4.500.000 – Rp 5.500.000 per month;Full time;4;https://www.jobstreet.co.id/id/job/85109636?type=standard&ref=search-standalone&origin=jobCard#sol=753df0f459208bf34b8a6e7d58e323410bc1922d;"Gambaran Umum Pekerjaan :
Memahami dengan baik sistem database produk-produk perusahaan.
Memelihara sistem database perusahaan.
Berkolaborasi dengan Head Store untuk memperoleh data yang dibutuhkan perusahaan.
Mengatur data yang diperoleh untuk dikelola sesuai jenis datanya.
Mempresentasikan data yang telah diproses dalam sebuah rapat untuk dijelaskan kepada seluruh tim tentang data yang ada sehingga bisa digunakan sesuai kebutuhan
Merancang dan mengimplementasikan database, sistem pengumpulan data, analisis data, dan strategi lainnya dengan tujuan meningkatkan efisiensi dan kualitas statistik. 
Menganalisis, mengevaluasi, dan memahami tren atau pola dalam kumpulan data yang kompleks
Melakukan kerjasama dengan manajemen dalam menetapkan prioritas kebutuhan bisnis dan informasi.
Kualifikasi :
Usia maks.35 Tahun
Berpengalaman sebagai Data Analyst min. 1 tahun (Industri Retail lebih disukai)
Pendidikan D3/D4/S1 Jurusan Bisnis, Keuangan, atau lainnya yang sesuai
Menguasai rumus Microsoft Excel (wajib)
Memiliki skill problem-solving
Responsif dan komunikatif
Teliti dan rapi
Dapat berbahasa Indonesia dengan fasih
Bertanggungjawab, jujur, dan disiplin
Mampu bekerja dibawah tekanan
Memiliki kemampuan dan keterampilan analitis yang kuat dalam mempelajari fungsi bisnis dengan kemampuan untuk mengumpulkan, mengatur, menganalisis, mengevaluasi kebutuhan bisnis, dan menyebarkan informasi memperhatikan detail dan akurasi."
Research Analyst;PT Katadata Indonesia;Jakarta Selatan, Jakarta Raya;N/A;Full time;2;https://www.jobstreet.co.id/id/job/84895674?type=standard&ref=search-standalone&origin=jobCard#sol=5da18aec7a47cc0e956ebb042d1989844bef3a79;"Katadata Insight Center (KIC) is a business unit of Katadata, specialized in research and data analytic, providing in-depth insight. To support our expanding operations, we are currently seeking professional and dynamic individual to join our team with the following qualifications:
Bachelor's or Master's degree in Political Economy, Public Policy, Development Studies, or related fields in Social Sciences.
Minimum 2 years of experience as an analyst or researcher, with strong experience in qualitative and quantitative research.
Possess in-depth knowledge and experience of quantitative and qualitative research methodologies and strong data analysis skills.
Experience in producing research outputs such as research reports, white papers, policy briefs, and other formats.
Proficiency in quantitative or qualitative data analysis software, such as NVivo, SPSS, R, etc. is a plus.
Possess critical thinking, problem-solving, and results-oriented skills.
Possess excellent communication and presentation skills, both in Bahasa Indonesia and English.
Possess an understanding of business and economic issues, as well as a strong interest in social, economic, political and development issues including sectoral industrial issues (i.e. digital, finance, energy, etc.) in Indonesia and internationally.
Possess integrity, objectivity, and commitment to research quality.
Responsibilities:
Design and execute end-to-end research projects, from proposal development, methodology determination, data collection and analysis, to report preparation and presentation.
Conduct qualitative and quantitative research to generate relevant and actionable insights for clients.
Evaluate and develop research methodologies to improve research quality and effectiveness.
Manage relationships with clients and other stakeholders to ensure smooth research project execution.
Publish research findings in the form of reports, articles, or presentations on various platforms.
Collaborate with the research team to produce innovative and impactful research."
Data Support (Jabar - Bandung);PT Depoguna Bangunan Online;Bandung, Jawa Barat;N/A;Full time;15;https://www.jobstreet.co.id/id/job/84867376?type=standard&ref=search-standalone&origin=jobCard#sol=8e354a2170712d67322d3f9180862b7b5e3f6d0f;"Kualifikasi:
Berpengalaman min. 2 th di bidang Project support, terbiasa memahami proses yang berjalan.
Berpengalaman melakukan support pelaksanaan project mulai dari data setting, mapping data, pengecekan integrasi data ke system sampai dengan sosialisasi event terlaksana.
Berpengalaman dalam menangani masalah dan perubahan-perubahan yang terkait dengan aktivitasnya secara tepat sehingga isu-isu yang ada tersebut dapat terselesaikan.
Berpengalaman dalam melakukan monitoring terhadap fitur/proses yang berjalan pada project.
Terbiasa dalam menyediakan laporan-laporan terkait yang dibutuhkan oleh manajemen."
Junior Analyst Strategic Management;PT. CBA Chemical Industry;Tangerang, Banten;N/A;Full time;3;https://www.jobstreet.co.id/id/job/85125597?type=standard&ref=search-standalone&origin=jobCard#sol=7aaaada5311849d4aa2a9f81c19e5ca7fccea625;"Kualifikasi:
Pendidikan minimal S1 di bidang Manajemen, Teknik Industri, Ekonomi, Matematik, atau setara.
Pengalaman minimal 1 tahun di bidang perencanaan strategis, business analysis, atau fungsi sejenis.
Memahami dasar penggunaan strategic management tools dan proses penyusunan corporate plan.
Memiliki kemampuan dalam pemetaan proses bisnis dan penyusunan dokumentasi kerja.
Mampu mengoperasikan Microsoft Excel, PowerPoint, Power BI dan tools analisis dengan baik.
Teliti, komunikatif, dan mampu bekerja multitasking dalam tim lintas fungsi.
Tanggung Jawab Utama:
Mendukung proses penyusunan monitoring board dari strategi perusahaan.
Membantu pemetaan proses bisnis serta dokumentasinya
Mengelola dan memperbarui Calendar of Events perusahaan.
Membantu pelaksanaan dan dokumentasi monthly & annual business planning review.
Mengkoordinir pengumpulan laporan dari seluruh direktorat setiap bulan, lalu menyusunnya menjadi satu laporan yang utuh.
Menyusun materi presentasi dan laporan analisis strategis untuk keperluan manajemen."
IT System Analyst;PT Astra Otoparts Tbk;Karawang, Jawa Barat;N/A;Full time;4;https://www.jobstreet.co.id/id/job/85095632?type=standard&ref=search-standalone&origin=jobCard#sol=446677f9fd5e993a947eee885b0d63cefee2d01a;"Pemeliharaan Sistem IT:
Mengelola dan memelihara perangkat keras dan lunak perusahaan (komputer, jaringan, printer, dll.).
Melakukan update software dan firmware secara rutin.
Memastikan jaringan internet berjalan stabil dan efisien.
Pemecahan Masalah (Troubleshooting):
Menangani masalah teknis harian dari karyawan terkait komputer, jaringan, dan perangkat lainnya.
Memberikan solusi cepat dan efektif untuk gangguan sistem atau jaringan.
Support Pengguna:
Memberikan dukungan teknis dan pelatihan kepada karyawan yang mengalami kesulitan dengan perangkat lunak atau perangkat keras.
Membantu instalasi dan konfigurasi sistem sesuai kebutuhan."
Data Analyst;PT Propan Raya Industrial Coating Chemicals;Tangerang, Banten;N/A;Full time;4;https://www.jobstreet.co.id/id/job/85102118?type=standard&ref=search-standalone&origin=jobCard#sol=d3f323ea530529db785b2795ae7c3b0f38301180;"Job Description:
Menganalisis data untuk mengidentifikasi tren, korelasi, dan insight bisnis
Mengembangkan laporan, visualisasi data, dan dashboard interaktif
Memberikan rekomendasi berbasis data kepada stakeholder terkait
Berkolaborasi dengan tim lintas fungsi untuk memahami kebutuhan analitik
Requirements:
Lulusan S1 Statistika, Matematika, atau Akuntansi
Menguasai Microsoft Excel secara mendalam (termasuk fungsi lanjutan dan analisis data)
Kemampuan komunikasi dan kolaborasi yang solid
Adaptif dalam kerja individu maupun tim
Pengalaman 1–2 tahun sebagai Data Analyst dengan pemahaman analitik yang kuat"
Product Analyst;PT SMART,Tbk;Jakarta Raya;N/A;Full time;1;https://www.jobstreet.co.id/id/job/85203218?type=standard&ref=search-standalone&origin=jobCard#sol=5930973bd4d3667f59f797866e35153d02adea39;"Job Description Summary:
Product Analysts are curious, strategic, thinking out-of-the-box and focused on making the company better through trusted data insights. Working with Product Management chapter and close partnership with Digital Product Development chapter, they look at customer behaviors across the customer journey and help make the customer experience and business outcomes better.
 
Job Description:
Perform strategic and ad-hoc work in support of Product Manager to analyze user problems and requiremen
Create workflow, customer journey and/or blueprint to propose a solution
Help design prototype or wireframe, execute and evaluate A/B tests to improve the customer journey
Operate in an iterative mindset, focused on delivering improvements and value at high velocity
Work collaboratively with Product team members and Development team members
 
Job requirements:
 
Bachelor’s in business, computer science, engineering, or related field; MBA or Master’s in Digital Business is a plus.
2 to 5 years of experience in product or software development.
At least 1 product/project from 0 to 1 to a live product, steering it through MVP build-outs, feedback loops, and a public launch.
Excellent in time management skills, proven by 1 project timeline or similar roadmap from a previous project, ensures that the plan is kept on track.
 Experience in using Waterfall, Scrum, or Kanban to drive continuous improvement.
Uses a data-driven mindset with analytics tools to set success metrics and validate hypotheses.
""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person."""
Staf Pengolahan dan Diseminasi Data Asuransi;PT Daya5 Rekrutmen;Jakarta Raya;N/A;Full time;2;https://www.jobstreet.co.id/id/job/85159776?type=standard&ref=search-standalone&origin=jobCard#sol=6067165fff8e3f1a5f3fc908e24fff081510c970;"Daya Dimensi Indonesia dengan bangga mewakili klien kami, Lembaga Penjamin Simpanan (LPS), mengundang putra-putri terbaik Indonesia yang memiliki pengalaman kerja dan kompetensi khusus untuk bergabung melalui jalur professional hire. Jadilah bagian dari langkah besar LPS dalam menjamin simpanan nasabah perbankan dan mempersiapkan penjaminan polis asuransi dalam rangka menjaga stabilitas sistem keuangan Indonesia.
Fungsi Jabatan:
Melaksanakan pengolahan dan pengelolaan data terkait penjaminan polis meliputi yang meliputi kegiatan pengolahan data, komputasi dan statistik, serta diseminasi data perusahaan asuransi secara efektif, efisien, berkualitas, dan sesuai dengan ketentuan yang berlaku.
Tanggung Jawab:
Pelaksanaan Pengolahan Data terkait Penjaminan Polis
Pelaksanaan Analisis Data, Komputasi dan Statistik terkait Penjaminan Polis
Pelaksanaan Pengembangan Data dan Statistik terkait Penjaminan Polis
Pengembangan Sistem Analitikal Data dan Big Data terkait Penjaminan Polis
Penyiapan Output (Tabulasi)
Pelaksanaan Diseminasi
Pengelolaan Data dan Informasi
Kualifikasi Umum:
Warga Negara Indonesia (WNI)
Pendidikan minimal S1
Diutamakan jurusan:
Teknik Informatika
Teknik Elektro
Ilmu Komputer
Teknik Komputer
Statistika/Matematika Komputasi
Indeks Prestasi Kumulatif (IPK) S1 minimal 2.75 (skala 4.00)
Usia maksimal 30 tahun per tanggal 26 Juni 2025
Kualifikasi Khusus:
Telah bekerja paling kurang 5 tahun, diutamakan yang memiliki pengalaman bekerja di bidang pengelolaan dan pengolahan data dan statistik, atau bidang lain yang relevan
Memiliki pemahaman terkait Artificial Intelligence, Data science, dan/atau Big Data
Pengalaman dalam Machine Learning (ML) dan Deep Learning (DL)
Menguasai Framework AI seperti Tensorflow, PyTorch, Keras,Scikit learn
Memahami konsep Computer Vision (Open CV), Natural Language Processing (NLP), Reinforcement Learning
Berpengalaman dalam pengembangan model AI."
Data Analyst;PT Dinus Cipta Mandiri;Jakarta Barat, Jakarta Raya;Rp 6.000.000 – Rp 8.000.000 per month;Kontrak/Temporer;4;https://www.jobstreet.co.id/id/job/84664778?type=standard&ref=search-standalone&origin=jobCard#sol=d739996101cdb33f4af76bd2aa440a2628853ce9;"Job requirements:
Max 35 years
Bachelor/Master's degree majoring in Statistics, Mathematics, Physics, Computers/Informatics, Engineering
Proficiency in Excel
Experience in using SQL
Experience with statistical analysis and data mining
Strong analytical and problem solving skills including ability to independently drive analysis concluding with rationalized recommendations
Strong communications skills for both technical and business purposes
Have knowledge of distribution systems
Fluent in English
 
Job Description:
Analyzing data related to sales, purchasing, distribution
Create reports and provide the data needed to help decision makers
Work closely with the marketing team to determine metrics to measure the success of business performance & achieve goals
Conduct cause-effect analysis to evaluate the effectiveness of various marketing initiatives
Manage the distribution of goods"
System Analyst;PT Pranala Ragam Karya;Kecamatan Tangerang, Banten;Rp 6.000.000 – Rp 8.000.000 per month;Full time;2;https://www.jobstreet.co.id/id/job/85166406?type=standard&ref=search-standalone&origin=jobCard#sol=d041fb2ae27e4db2a38ad673e913e60fde927145;"Requirment
1. Berpengalaman dalam bidang system analyst max selama 3 tahun
2. Pendidikan S1 IT akan leih baik karena harus memahami patter patter bahasa pemrograman
3. Dapat membuat ERD
Terbiasa melakukan optimasi Database terutama postgres dan my sql
5. bisa membuat dokumen teknis
6. Dapat membuat digaram system (DFD/UML) 
Selain dari ke 6 di atas, point point di bawah ini juga masuk di dalam kriteria yang di butuhkan
1. Aktif dalam bermomunikasi dengan Bahasa Inggris
Dapat berkomukasi dengan klien
3. Dapat membuat timeline
4. Dapat mengatur penggunanaan project management ex: trello
5. Memiliki analisys yang baik dalam suatu project"
Staf Akuisisi Data Asuransi;PT Daya5 Rekrutmen;Jakarta Raya;N/A;Full time;2;https://www.jobstreet.co.id/id/job/85159930?type=standard&ref=search-standalone&origin=jobCard#sol=f8ef2b1af407c6f330f09924d13632eff62e7090;"Daya Dimensi Indonesia dengan bangga mewakili klien kami, Lembaga Penjamin Simpanan (LPS), mengundang putra-putri terbaik Indonesia yang memiliki pengalaman kerja dan kompetensi khusus untuk bergabung melalui jalur professional hire. Jadilah bagian dari langkah besar LPS dalam menjamin simpanan nasabah perbankan dan mempersiapkan penjaminan polis asuransi dalam rangka menjaga stabilitas sistem keuangan Indonesia.
Fungsi Jabatan: 
Melaksanakan fungsi akuisisi data terkait penjaminan polis, yang meliputi pencarian dan akuisisi data, verifikasi, validasi, serta penyimpanan data secara efektif, efisien, berkualitas, dan sesuai dengan ketentuan yang berlaku.
Tanggung Jawab: 
Pencarian dan Akuisisi Data terkait Penjaminan Polis 
Verifikasi dan Validasi Data terkait Penjaminan Polis 
Penyimpanan Data terkait Penjaminan Polis 
Pengelolaan Data dan Informasi
Kualifikasi Umum:
Warga Negara Indonesia (WNI)
Pendidikan minimal S1
Diutamakan jurusan:
Teknik Informatika
Teknik Elektro
Ilmu Komputer
Teknik Komputer
Statistika/Matematika Komputasi
Indeks Prestasi Kumulatif (IPK) S1 minimal 2.75 (skala 4.00)
Usia maksimal 30 tahun per tanggal 26 Juni 2025
Kualifikasi Khusus: 
Telah bekerja paling kurang 5 tahun, diutamakan yang memiliki pengalaman bekerja di bidang pengelolaan dan pengolahan data dan statistik, atau bidang lain yang relevan
Memiliki pengalaman dalam bidang Artificial Interlligence, Data science, dan/atau Big Data.
Pengalaman dalam pengolahan data skala besar menggunakan SQL/NoSqL (PostgreSQL, MongoDB, Cassandra, Redis)
Memahami Big Data Architecture dan teknologi seperti Hadoop, Spark, Hive, Kafka
Menguasai Data Warehousing dan Data Lakes (Google BigQuesry, AWS Red Shift, Azure Synapse)
Familiar dengan ETL (Extract, Transform Load) process dan pipeline automation."
