Job Position;Company;Location;Salary;Job Type;Days_Since_Posted;Link;Description
Market Research Analyst;PT Sarana Yukti Bandhana;Jakarta Selatan, Jakarta Raya;N/A;Full time;0;https://www.jobstreet.co.id/id/job/85251484?type=standard&ref=search-standalone&origin=jobCard#sol=7f71da8a70e32b1587f1322ec35080da43f551e2;"PT Sarana Yukti Bandhana (SYB)
 is a leading digital payment system provider and operator with over 20 years of experience. We are committed to building a secure and efficient digital payment ecosystem that serves various sectors—from banking, finance, and utilities to e-wallets and e-commerce. As we continue to grow, we’re looking for a 
Market Research Analyst
 to join our team.
What You’ll Do
Develop Insightful Reports
: Create research reports using both qualitative and quantitative data.
Present to Stakeholders
: Deliver key findings and market insights to senior management.
Analyze Market Trends
: Monitor industry trends, opportunities, and potential risks in the payment sector.
Support with Financial Analysis
: Evaluate revenue, cost, and profitability data to back research insights.
Translate & Summarize
: Translate Indonesian news reports to English and summarize them regularly.
Collaborate Across Teams
: Work closely with internal teams to collect on-ground insights and support your analysis.
What We’re Looking For
Education
: Bachelor’s degree in any field.
Experience
: Min. 1 year of relevant experience.
Location
: Based in Jakarta and available to work on-site.
Languages
: Proficient in Bahasa Indonesia and English (both written and spoken).
Research Mindset
: Passionate about market trends and proactive in learning.
Strong Analytical Skills
: Able to make sense of complex data and turn it into actionable insights.
Financial Acumen
: Understand financial metrics and proficient in financial analysis.
Excellent Writing & Editing
: Able to clearly present findings and polish written materials.
Detail-Oriented
: Thorough in documentation and precise in your work.
Tech-Savvy"
IT Business Analyst;PT Equalsys Solusi Teknologi;Yogyakarta, DI Yogyakarta;Rp 6.000.000 – Rp 9.000.000 per month;Kontrak/Temporer;0;https://www.jobstreet.co.id/id/job/85257915?type=standard&ref=search-standalone&origin=jobCard#sol=349fe3524e8163da16a57966b6d85a4c62f1ab9b;"We're looking for an experienced IT Business/System Analyst to be part of our team. Work on exciting projects for our International customers.
RESPONSIBILITIES
·         Gather and document business requirements from stakeholders. 
·         Analyze current business processes and identify areas for improvement. 
·         Translate business needs into functional specifications or user stories. 
·         Work with product owner, developers and designers to shape solutions. 
·         Facilitate workshops, brainstorming sessions, and sprint planning. 
·         Ensure proposed solutions align with business goals and user needs. 
·         Support user acceptance testing (UAT) and validate that solutions meet requirements. 
·         Identify bugs or gaps and work with teams to resolve them. 
·         Maintain clear documentation (BRDs, process flows, system diagrams) 
·         Act as a liaison between technical teams and business stakeholders 
Background & Experience
·         2+ years of relevant working experience
·         
Proven track record in gathering and translating business requirements into actionable deliverables
·         
Experience supporting UAT and collaborating with cross-functional teams
·         Experience with MS Office products such as MS Word, MS Excel
·         Experience with presentation software such as MS PowerPoint
·         Good communication, interpersonal skills, able to communicate fluently in English
·         High levels of integrity and self-motivation, honest, responsible with work.
·         Familiar working with deadlines.
·         Teamwork, works well as a member of a team and happy to help others
·         Good presentation, documentation and communication skills
Personal Qualities & Soft Skills
 
·         
Initiative & Ownership: 
You don’t wait for tasks; you seek out opportunities and drive them forward. 
·         
Critical Thinking: 
You ask the right questions and challenge assumptions to get to the root of the problem 
·         
Clear Communication: 
You can explain complex ideas to both technical and non-technical audiences 
·         
Adaptability: 
You’re comfortable navigating change and shifting priorities. 
·         
Time Management: 
You can juggle multiple tasks and still deliver high-quality outcomes."
IT System Analyst;PT Astra Otoparts Tbk;Karawang, Jawa Barat;N/A;Full time;7;https://www.jobstreet.co.id/id/job/85095632?type=standard&ref=search-standalone&origin=jobCard#sol=841d3b341b8114ec6a413419091f88eff26dcda4;"Pemeliharaan Sistem IT:
Mengelola dan memelihara perangkat keras dan lunak perusahaan (komputer, jaringan, printer, dll.).
Melakukan update software dan firmware secara rutin.
Memastikan jaringan internet berjalan stabil dan efisien.
Pemecahan Masalah (Troubleshooting):
Menangani masalah teknis harian dari karyawan terkait komputer, jaringan, dan perangkat lainnya.
Memberikan solusi cepat dan efektif untuk gangguan sistem atau jaringan.
Support Pengguna:
Memberikan dukungan teknis dan pelatihan kepada karyawan yang mengalami kesulitan dengan perangkat lunak atau perangkat keras.
Membantu instalasi dan konfigurasi sistem sesuai kebutuhan."
Quality Control Data Analyst;PT Kartika Sari Indonesia;Bandung, Jawa Barat;N/A;Full time;3;https://www.jobstreet.co.id/id/job/85200880?type=standard&ref=search-standalone&origin=jobCard#sol=a2442da5fd4a4686257885ead555c04973c439af;"Kualifikasi: 
Minimal pendidikan D4/S1 
Lulusan dari jurusan Sistem Informasi dan Teknik Informatika
Memiliki pengalaman bekerja minimal 1 tahun di bidang QC Data Analyst, atau dibidang serupa. 
Deskripsi Pekerjaan:
Melakukan kegiatan administrasi, penyiapan, pencatatan, dan pengarsipan data, dokumen
Pembuatan laporan dan monitoring aset
Membuat aplikasi pelaporan dan maintenance dashboard
Monitoring dan pencatatan, order perlengkapan CAPEX & OPEX
Pemantauan analisa external di departemen QC"
Financial Institution Ratings Analyst;PT Pemeringkat Efek Indonesia (PEFINDO);Jakarta Selatan, Jakarta Raya;N/A;Full time;5;https://www.jobstreet.co.id/id/job/85154284?type=standard&ref=search-standalone&origin=jobCard#sol=60318eb10d44201ec8fed4bee86e2c69f4b38e30;"Responsibilities:
Responsible for conducting ratings through in-depth analysis of companies (corporate ratings) and/or securities issued within the 
financial services sector
Conduct the rating process for clients and debt instruments in accordance with PEFINDO’s procedures and regulations.
Collect and manage data for clients’ analysis on a regular basis.
Prepare a comprehensive report and rating proposal and make a presentation to the rating committee members.
Monitor the clients’ condition on a regular basis.
Establish and maintain a good, long-term relationship with the clients.
Publish the rating actions to the stakeholders and media.
Prepare articles on sectoral review and relevant issues.
Perform other duties and responsibilities, as assigned.
Requirements:
Min. Bachelor Degree in Accounting/Finance Management,
Graduate from reputable university preferable (Min. GPA 3.00)
Min. 3 years in the financial or non-financial sector and 3 years in the field of credit assessment
Strong understanding of financial institutions and the financial services industry
Candidate with well-known financial analysis certification will be preferred
Excellent in English both verbal & written
Proficient in English report writing
Strong presentation and communication skills
Able to work as a team and meet tight work deadline"
Data Analyst;Altius Hospital;Jakarta Barat, Jakarta Raya;N/A;Full time;5;https://www.jobstreet.co.id/id/job/85135079?type=standard&ref=search-standalone&origin=jobCard#sol=192478e384bbd3694f6b635f76aaffedb3b93d87;"Job Descriptions:
Develop, implement, and maintain leading-edge analytical systems, taking complex problems and building simple frameworks
Identify trends and opportunities for growth through the analysis of complex data sets
Evaluate organizational methods and provide source-to-target mapping and information model specification documents for data sets
Create best practice reports based on data mining, analysis, and visualization
Evaluate internal systems for efficiency, issues, and inaccuracies, and develop and maintain protocols for handling, processing, and cleaning data
Requirements:
Bachelor's degree in Information Systems, Statistics or related major from reputable university with min. 3.00 GPA
Min. 2 years working experience as Revenue Analyst (from Hospital or Hotel background will be an added advantage)
Strong research and analysis skills
Proficient in excel and understand basic SQL server query"
Data Reporting Analyst;PT Wismilak Inti Makmur Tbk;Surabaya, Jawa Timur;N/A;Full time;11;https://www.jobstreet.co.id/id/job/85027148?type=standard&ref=search-standalone&origin=jobCard#sol=e5ea444b948dab05274199782a82b1c17cd3278a;"Sebagai 
Data Reporting Analyst, 
Anda akan bertanggung jawab untuk:
Memenuhi kebutuhan informasi & data di departemen terkait
Checking serta update database / data di aplikasi yang dimiliki oleh departemen
Melakukan analisis data, menyusun rekomendasi / next action dari hasil analisis tersebut serta membuat report secara berkala
Melakukan improvement terhadap pengelolaan data serta penggunaannya di departemen terkait
Kami membutuhkan 
Data Reporting Analyst 
dengan kualifikasi sebagai berikut:
Lulusan D4/S1 Statistika / Matematika / Teknik
Memiliki pengalaman (internship / project / full-time) dalam hal pengolahan serta analisis data
Mampu menggunakan Microsoft Excel / Google Sheet di level Intermediate (Logic & Lookup Function, Pivot Table, Static / Dynamic Chart, Conditional Formatting, Data Validation, dll)
Mampu berkolaborasi dengan pihak lain (dalam/luar departemen) dalam pekerjaannya
Penempatan Surabaya
Bersedia mengikuti proses rekrutmen secara offline apabila diperlukan
Kebutuhan kami ada 2, yakni di Departemen Clinic & Departemen Sales
Notes: Hanya kandidat yang memenuhi kualifikasi yang akan kami proses lebih lanjut."
Analyst Sustainability Strategy;HuntHire;Jakarta Pusat, Jakarta Raya;N/A;Full time;8;https://www.jobstreet.co.id/id/job/85076409?type=standard&ref=search-standalone&origin=jobCard#sol=2a0b18d6ec427243014eebab30028fee3e60ba5b;"We are looking for an 
Analyst Sustainability Strategy
 to join our client company to support the company’s sustainability efforts, especially in reaching Net Zero Emission targets. This role helps plan and monitor sustainability strategies and ensures that environmental and social goals are part of our daily operations.
Key Responsibilities:
Proven work experience in the field of Sustainability and/or Environmental, Social, and Governance (ESG).
Strong understanding of sustainability frameworks, ESG principles, and regulatory requirements.
Experience in developing or supporting sustainability strategies, roadmaps, or reporting.
Familiarity with Net Zero Emission targets and related environmental initiatives.
Requirements:
Proven work experience in the field of Sustainability and/or Environmental, Social, and Governance (ESG).
Bachelor’s degree in Business/Management, Engineering, or Public Health."
Data Engineer (Officer);Dexa Group;Tangerang Selatan, Banten;N/A;Full time;0;https://www.jobstreet.co.id/id/job/85252349?type=standard&ref=search-standalone&origin=jobCard#sol=a05bd554da6d88f3fb43df5a4e9c99e03ebc30ee;"Job Description:
To analyze and validate data source readiness and integrity
To build and organize a data pipeline (ETL/ELT) procedure for usage in a data warehouse environment
Routine work of monitoring and troubleshooting data processing performance
To identify potential problems and create solutions for more robust and efficient data processing
To assess and implement new cloud technology and big data platforms
Requirements :
A Bachelor's Degree in Computer Science, Information Technology, or relevant disciplines from a top university
Minimum 1 year of working experience as a Data Engineer or ETL Developer
Strong analytical skills & high sense of logical thinking
Experience developing data warehouse schemas with OWB, ODI, or other enterprise ETL technologies
Have expertise and experience with a cloud solution, preferably a GCP Platform.
Willing to work onsite & fulltime in Bintaro, Tangerang Selatan"
Data Analyst;PT. MAX AUTO INDONESIA;Surabaya, Jawa Timur;N/A;Kontrak/Temporer;3;https://www.jobstreet.co.id/id/job/85205423?type=standard&ref=search-standalone&origin=jobCard#sol=ec2da739a039a277a100f3ab4b78def03c598892;"Job Desc :
1. Data Collection & Management:
Collect, clean, and organize data related to rental driver activities, fleet usage, and operational metrics.
Maintain and update databases ensuring accuracy and integrity.
 2. Performance Analysis:
Analyze driver performance metrics, including fulfilment rate, online driver performance and earning, and compliance with company policies.
Identify trends and patterns to improve driver efficiency and satisfaction.
 3. Operational Insights:
Evaluate rental trends, peak usage times, and driver availability.
Provide insights to optimize fleet management and rental processes.
 4. Reporting & Visualization:
Create dashboards, reports, and visual presentations for key stakeholders.
Deliver actionable recommendations to improve operational efficiency and revenue.
 5. Collaboration:
Work closely with the operations, finance, and rental support teams to align analytics with business goals.
Support strategic initiatives with data-driven insights.
 6. Problem-Solving:
Monitor and troubleshoot issues related to rental systems, driver data, and customer feedback.
Propose solutions to address operational challenges and enhance service delivery.
 
Requirement :
Maximal age 35 years old
Have experience with the same position min 2 years
Ability to work a team and independently
Excellent Communication and interpersonal skill
Able to operating computer
Responsible and hard worker"
